Country,Code,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Greece,GRC,6.4,12.1,6.6,6.7,7.6,17.7,7.5,8.5,7.9,22.7,8.3,9.3,8.7
Guatemala,GTM,2.8,5.2,2.8,2.8,2.8,6.5,2.7,2.8,2.8,7.8,2.8,2.8,2.9
Guinea,GIN,1.4,2.7,1.4,1.4,1.4,3.3,1.4,1.4,1.4,3.9,1.4,1.4,1.4
Guyana,GUY,1.6,3.0,1.6,1.7,1.8,4.2,1.8,1.9,2.0,5.9,2.2,2.3,2.3
Haiti,HTI,1.2,2.3,1.2,1.3,1.3,3.0,1.3,1.3,1.3,3.8,1.4,1.4,1.5
Honduras,HND,2.0,3.8,2.0,2.1,2.1,4.8,2.0,2.1,2.1,6.0,2.2,2.2,2.2
Hungary,HUN,5.9,11.1,6.0,6.1,6.9,15.6,6.5,7.4,7.0,20.1,7.3,8.3,7.7
Iceland,ISL,13.0,24.1,12.9,13.2,14.9,34.3,14.8,16.8,15.8,45.7,16.8,19.1,17.8
India,IND,12.7,23.8,12.6,12.7,12.8,30.8,13.0,13.1,13.2,37.2,13.4,13.5,13.6
Indonesia,IDN,1.9,3.6,1.9,1.9,2.0,4.6,2.0,2.0,2.0,5.7,2.1,2.1,2.1
Iran,IRN,3.0,5.6,3.0,3.1,3.1,7.3,3.1,3.2,3.2,9.2,3.4,3.4,3.5
Iraq,IRQ,2.2,4.1,2.1,2.1,2.1,4.9,2.0,2.0,2.0,5.7,2.0,2.0,2.0
Ireland,IRL,12.3,23.1,12.2,12.4,13.8,31.6,13.4,14.9,13.7,39.0,14.2,15.8,14.5
Israel,ISR,10.0,18.7,9.8,9.9,9.9,23.1,9.7,9.7,9.8,27.5,9.9,9.9,9.9
Italy,ITA,23.6,45.0,24.2,24.7,35.4,62.8,26.7,38.2,27.9,79.8,29.1,41.7,30.3
Ivory Coast,CIV,2.0,3.7,1.9,1.9,1.9,4.4,1.8,1.8,1.8,5.1,1.8,1.8,1.8
Jamaica,JAM,2.2,4.1,2.3,2.3,2.4,5.7,2.5,2.5,2.6,7.6,2.8,2.9,3.0
Japan,JPN,7.3,13.9,7.5,7.7,7.9,20.3,8.7,8.9,9.1,26.1,9.5,9.8,10.0
